offerKey,game,site,provider,reward,condition,platform,type,deadline,updatedAt,url,sourceUrl,verified
エバーテイル|hapitas|Android|https://hapitas.jp/item/detail/itemid/91343,エバーテイル,hapitas,,140,新規アプリインストール後、3日間連続でログインボーナスを獲得,Android,通常,広告クリック当日を1日目として10日以内,2026-09-26,https://hapitas.jp/item/detail/itemid/91343,https://hapitas.jp/item/detail/itemid/91343,true
エバーテイル|hapitas|iOS|https://hapitas.jp/item/detail/itemid/91344,エバーテイル,hapitas,,140,新規アプリインストール後、3日間連続でログインボーナスを獲得,iOS,通常,広告クリック当日を1日目として10日以内,2026-09-26,https://hapitas.jp/item/detail/itemid/91344,https://hapitas.jp/item/detail/itemid/91344,true
エバーテイル|hapitas|iOS|https://hapitas.jp/item/detail/itemid/91345,エバーテイル,hapitas,,182,新規アプリインストール後、3日間連続でログインボーナスを獲得,iOS,通常,インストール日から起算して30日以内,2026-09-26,https://hapitas.jp/item/detail/itemid/91345,https://hapitas.jp/item/detail/itemid/91345,true
エバーテイル|moppy|不明|https://pc.moppy.jp/ad/detail.php?site_id=158275,エバーテイル,moppy,,360,新規アプリインストール後、3日連続でログインボーナスを獲得,不明,通常,広告クリック当日を1日目として10日以内,2026-09-26,https://pc.moppy.jp/ad/detail.php?site_id=158275,https://pc.moppy.jp/ad/detail.php?site_id=158275,true
エバーテイル|moppy|不明|https://pc.moppy.jp/ad/detail.php?site_id=158276,エバーテイル,moppy,,360,新規アプリインストール後、3日連続でログインボーナスを獲得,不明,通常,広告クリック当日を1日目として10日以内,2026-09-26,https://pc.moppy.jp/ad/detail.php?site_id=158276,https://pc.moppy.jp/ad/detail.php?site_id=158276,true
エバーテイル|point_income|Android|https://sp.pointi.jp/ad/149940/,エバーテイル,point_income,,250,アプリインストール＋起動→承認待ち反映後、10日以内に3日連続でログインボーナス獲得,Android,通常,承認待ち反映後、10日以内,2026-09-26,https://sp.pointi.jp/ad/149940/,https://sp.pointi.jp/ad/149940/,true
エバーテイル|point_income|iOS|https://sp.pointi.jp/ad/149938/,エバーテイル,point_income,,250,アプリインストール＋起動→承認待ち反映後、10日以内に3日連続でログインボーナス獲得,iOS,通常,承認待ち反映後、10日以内,2026-09-26,https://sp.pointi.jp/ad/149938/,https://sp.pointi.jp/ad/149938/,true
エバーテイル|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=188016,エバーテイル,warau,,310,新規アプリインストール後、3日連続ログインボーナス獲得,iOS,通常,インストール日から起算して10日以内,2026-09-08,https://www.warau.jp/contents/point/pointEntrance.php?point_id=188016,https://www.warau.jp/contents/point/pointEntrance.php?point_id=188016,true
キングショット|moppy|Android|https://pc.moppy.jp/ad/detail.php?site_id=161855,キングショット,moppy,,23367,新規アプリインストール後、40日以内に各成果地点到達でクリア,Android,StepUp,40日以内,2026-09-26,https://pc.moppy.jp/ad/detail.php?site_id=161855,https://pc.moppy.jp/ad/detail.php?site_id=161855,true
キングショット|moppy|iOS|https://pc.moppy.jp/ad/detail.php?site_id=161854,キングショット,moppy,,23367,新規アプリインストール後、40日以内に各成果地点到達でクリア,iOS,StepUp,40日以内,2026-09-26,https://pc.moppy.jp/ad/detail.php?site_id=161854,https://pc.moppy.jp/ad/detail.php?site_id=161854,true
キングショット|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204984,キングショット,warau,,16000,新規アプリインストール後、StepUp（役場レベル4到達・役場レベル8到達・800円以上1600円未満の一括課金・役場レベル16到達・1600円以上3200円未満の一括課金・役場レベル20到達・役場レベル24到達・役場レベル24到達後3200円以上一括課金・役場レベル28到達・黄金レベル1到達）を達成,Android,StepUp,インストール日から起算して10日／30日／70日以内（ステップ別）,2026-09-08,https://www.warau.jp/contents/point/pointEntrance.php?point_id=204984,https://www.warau.jp/contents/point/pointEntrance.php?point_id=204984,true
キングショット|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204983,キングショット,warau,,16000,新規アプリインストール後、StepUp（役場レベル4到達・役場レベル8到達・800円以上1600円未満の一括課金・役場レベル16到達・1600円以上3200円未満の一括課金・役場レベル20到達・役場レベル24到達・役場レベル24到達後3200円以上一括課金・役場レベル28到達・黄金レベル1到達）を達成,iOS,StepUp,インストール日から起算して10日／30日／70日以内（ステップ別）,2026-09-08,https://www.warau.jp/contents/point/pointEntrance.php?point_id=204983,https://www.warau.jp/contents/point/pointEntrance.php?point_id=204983,true
パズル＆サバイバル|hapitas|Android|https://hapitas.jp/item/detail/itemid/99158,パズル＆サバイバル,hapitas,,33829,新規アプリインストール後、30日以内にStepUp（レベル7/12/17/25/30到達・スカーレットギフト購入・永久建築隊列購入・星5研究マスター購入・ローダン購入・30日のプラチナ週パス購入）を達成,Android,StepUp,インストール後30日以内,2026-09-26,https://hapitas.jp/item/detail/itemid/99158,https://hapitas.jp/item/detail/itemid/99158,true
パズル＆サバイバル|hapitas|iOS|https://hapitas.jp/item/detail/itemid/98148,パズル＆サバイバル,hapitas,,38696,新規アプリインストール後、30日以内にStepUp（レベル7/12/17/25/30到達・スカーレットギフト購入・永久建築隊列購入・星5研究マスター購入・ローダン購入・30日のプラチナ週パス購入）を達成,iOS,StepUp,インストール後30日以内,2026-09-26,https://hapitas.jp/item/detail/itemid/98148,https://hapitas.jp/item/detail/itemid/98148,true
パズル＆サバイバル|moppy|Android|https://pc.moppy.jp/ad/detail.php?site_id=160367,パズル＆サバイバル,moppy,,39734,新規アプリインストール後、30日以内に各成果地点到達でクリア,Android,StepUp,30日以内,2026-09-26,https://pc.moppy.jp/ad/detail.php?site_id=160367,https://pc.moppy.jp/ad/detail.php?site_id=160367,true
パズル＆サバイバル|moppy|iOS|https://pc.moppy.jp/ad/detail.php?site_id=160366,パズル＆サバイバル,moppy,,39740,新規アプリインストール後、30日以内に各成果地点到達でクリア,iOS,StepUp,30日以内,2026-09-26,https://pc.moppy.jp/ad/detail.php?site_id=160366,https://pc.moppy.jp/ad/detail.php?site_id=160366,true
パズル＆サバイバル|point_income|iOS|https://sp.pointi.jp/ad/154851/,パズル＆サバイバル,point_income,,300,アプリインストール＋起動→承認待ち反映後、30日以内に戦力200万到達,iOS,通常,承認待ち反映後、30日以内,2026-09-26,https://sp.pointi.jp/ad/154851/,https://sp.pointi.jp/ad/154851/,true
パズル＆サバイバル|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205557,パズル＆サバイバル,warau,,29500,新規アプリインストール後、30日以内にStepUp（第2章/第6章/第8章/第10章/第12章/第15章の探索クリア・CCレベル7/27/30到達・成長の助力購入・スカーレットセール購入・★3建築マスター購入・成長基金購入・★5建築マスター購入）を達成,Android,StepUp,インストール日から起算して30日以内,2026-09-08,https://www.warau.jp/contents/point/pointEntrance.php?point_id=205557,https://www.warau.jp/contents/point/pointEntrance.php?point_id=205557,true
