observedAt,game,site,platform,reward,offerKey
2026-09-02T15:43:43Z,きのこ伝説,chobirich,Android,3831,きのこ伝説|chobirich|Android|https://www.chobirich.com/ad_details/1883822
2026-09-02T15:43:43Z,きのこ伝説,chobirich,不明,17880,きのこ伝説|chobirich|不明|https://www.chobirich.com/ad_details/1896200
2026-09-02T15:43:43Z,きのこ伝説,coincome,Android,18820,きのこ伝説|coincome|Android|https://cimcome.jp/campaigns/details/10038
2026-09-02T15:43:43Z,きのこ伝説,coincome,iOS,22050,きのこ伝説|coincome|iOS|https://cimcome.jp/campaigns/details/10037
2026-09-02T15:43:43Z,きのこ伝説,warau,Android,18800,きのこ伝説|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205817
2026-09-02T15:43:43Z,きのこ伝説,warau,iOS,22000,きのこ伝説|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205816
2026-09-02T15:43:43Z,ホワイトアウト・サバイバル,moppy,Android,6119,ホワイトアウト・サバイバル|moppy|Android|https://pc.moppy.jp/ad/detail.php?site_id=160375
2026-09-02T15:43:43Z,ホワイトアウト・サバイバル,warau,Android,11500,ホワイトアウト・サバイバル|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=201872
2026-09-02T15:43:43Z,ホワイトアウト・サバイバル,warau,iOS,11500,ホワイトアウト・サバイバル|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=201862
2026-09-02T15:43:43Z,メメントモリ,warau,Android,12050,メメントモリ|warau|Android|https://ssl.warau.jp/contents/point/pointEntrance.php?pl=pc_categoryService&point_id=205975
2026-09-02T15:43:43Z,メメントモリ,warau,iOS,12050,メメントモリ|warau|iOS|https://ssl.warau.jp/contents/point/pointEntrance.php?pl=pc_categoryService&point_id=206035
2026-09-02T15:43:43Z,ワーキングヒーロー,hapitas,Android,11502,ワーキングヒーロー|hapitas|Android|https://hapitas.jp/item/detail/itemid/101445
2026-09-02T15:43:43Z,ワーキングヒーロー,hapitas,iOS,11502,ワーキングヒーロー|hapitas|iOS|https://hapitas.jp/item/detail/itemid/101444
2026-09-03T08:19:44Z,Township,chobirich,Android,31817,Township|chobirich|Android|https://www.chobirich.com/ad_details/1894712
2026-09-03T08:19:44Z,Township,coincome,Android,33125,Township|coincome|Android|https://cimcome.jp/campaigns/details/9857
2026-09-03T08:19:44Z,Township,coincome,iOS,30025,Township|coincome|iOS|https://cimcome.jp/campaigns/details/9856
2026-09-03T08:19:44Z,Township,warau,Android,21670,Township|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204645
2026-09-03T08:19:44Z,Township,warau,iOS,16760,Township|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204643
2026-09-03T08:19:44Z,きのこ伝説,chobirich,Android,3831,きのこ伝説|chobirich|Android|https://www.chobirich.com/ad_details/1883822
2026-09-03T08:19:44Z,きのこ伝説,chobirich,不明,17880,きのこ伝説|chobirich|不明|https://www.chobirich.com/ad_details/1896200
2026-09-03T08:19:44Z,きのこ伝説,coincome,Android,18820,きのこ伝説|coincome|Android|https://cimcome.jp/campaigns/details/10038
2026-09-03T08:19:44Z,きのこ伝説,coincome,iOS,22050,きのこ伝説|coincome|iOS|https://cimcome.jp/campaigns/details/10037
2026-09-03T08:19:44Z,きのこ伝説,warau,Android,18800,きのこ伝説|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205817
2026-09-03T08:19:44Z,きのこ伝説,warau,iOS,22000,きのこ伝説|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205816
2026-09-03T08:19:44Z,ホワイトアウト・サバイバル,moppy,Android,6119,ホワイトアウト・サバイバル|moppy|Android|https://pc.moppy.jp/ad/detail.php?site_id=160375
2026-09-03T08:19:44Z,ホワイトアウト・サバイバル,warau,Android,12500,ホワイトアウト・サバイバル|warau|Android|https://ssl.warau.jp/contents/point/pointEntrance.php?pl=pc_categoryService&point_id=205389
2026-09-03T08:19:44Z,ホワイトアウト・サバイバル,warau,iOS,12500,ホワイトアウト・サバイバル|warau|iOS|https://ssl.warau.jp/contents/point/pointEntrance.php?pl=pc_categoryService&point_id=205390
2026-09-03T08:19:44Z,メメントモリ,warau,Android,12050,メメントモリ|warau|Android|https://ssl.warau.jp/contents/point/pointEntrance.php?pl=pc_categoryService&point_id=205975
2026-09-03T08:19:44Z,メメントモリ,warau,iOS,12050,メメントモリ|warau|iOS|https://ssl.warau.jp/contents/point/pointEntrance.php?pl=pc_categoryService&point_id=206035
2026-09-03T08:19:44Z,ワーキングヒーロー,hapitas,Android,11502,ワーキングヒーロー|hapitas|Android|https://hapitas.jp/item/detail/itemid/101445
2026-09-03T08:19:44Z,ワーキングヒーロー,hapitas,iOS,11502,ワーキングヒーロー|hapitas|iOS|https://hapitas.jp/item/detail/itemid/101444
2026-09-03T15:04:28Z,Township,chobirich,Android,31817,Township|chobirich|Android|https://www.chobirich.com/ad_details/1894712
2026-09-03T15:04:28Z,Township,coincome,Android,33125,Township|coincome|Android|https://cimcome.jp/campaigns/details/9857
2026-09-03T15:04:28Z,Township,coincome,iOS,30025,Township|coincome|iOS|https://cimcome.jp/campaigns/details/9856
2026-09-03T15:04:28Z,Township,warau,Android,21670,Township|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204645
2026-09-03T15:04:28Z,Township,warau,iOS,16760,Township|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204643
2026-09-03T15:04:28Z,きのこ伝説,chobirich,Android,3831,きのこ伝説|chobirich|Android|https://www.chobirich.com/ad_details/1883822
2026-09-03T15:04:28Z,きのこ伝説,chobirich,不明,17880,きのこ伝説|chobirich|不明|https://www.chobirich.com/ad_details/1896200
2026-09-03T15:04:28Z,きのこ伝説,coincome,Android,18820,きのこ伝説|coincome|Android|https://cimcome.jp/campaigns/details/10038
2026-09-03T15:04:28Z,きのこ伝説,coincome,iOS,22050,きのこ伝説|coincome|iOS|https://cimcome.jp/campaigns/details/10037
2026-09-03T15:04:28Z,きのこ伝説,warau,Android,18800,きのこ伝説|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205817
2026-09-03T15:04:28Z,きのこ伝説,warau,iOS,22000,きのこ伝説|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205816
2026-09-03T15:04:28Z,ホワイトアウト・サバイバル,moppy,Android,6119,ホワイトアウト・サバイバル|moppy|Android|https://pc.moppy.jp/ad/detail.php?site_id=160375
2026-09-03T15:04:28Z,ワーキングヒーロー,hapitas,Android,11502,ワーキングヒーロー|hapitas|Android|https://hapitas.jp/item/detail/itemid/101445
2026-09-03T15:04:28Z,ワーキングヒーロー,hapitas,iOS,11502,ワーキングヒーロー|hapitas|iOS|https://hapitas.jp/item/detail/itemid/101444
2026-09-04T12:36:00Z,東京ディバンカー,moppy,不明,228,東京ディバンカー|moppy|不明|https://pc.moppy.jp/ad/detail.php?site_id=158270
2026-09-04T12:36:00Z,東京ディバンカー,hapitas,不明,147,東京ディバンカー|hapitas|不明|https://hapitas.jp/item/detail/itemid/91316
2026-09-04T12:36:00Z,パズル＆サバイバル,moppy,Android,39734,パズル＆サバイバル|moppy|Android|https://pc.moppy.jp/ad/detail.php?site_id=160367
2026-09-04T12:36:00Z,パズル＆サバイバル,moppy,iOS,39740,パズル＆サバイバル|moppy|iOS|https://pc.moppy.jp/ad/detail.php?site_id=160366
2026-09-04T12:36:00Z,パズル＆サバイバル,warau,Android,29500,パズル＆サバイバル|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205557
2026-09-04T12:36:00Z,パズル＆サバイバル,warau,iOS,15230,パズル＆サバイバル|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205361
2026-09-04T12:47:00Z,キングショット,moppy,Android,18523,キングショット|moppy|Android|https://pc.moppy.jp/ad/detail.php?site_id=161855
2026-09-04T12:47:00Z,キングショット,moppy,iOS,18523,キングショット|moppy|iOS|https://pc.moppy.jp/ad/detail.php?site_id=161854
2026-09-04T12:47:00Z,キングショット,hapitas,Android,16320,キングショット|hapitas|Android|https://hapitas.jp/item/detail/itemid/101355
2026-09-04T13:58:00Z,放置少女,moppy,不明,2400,放置少女|moppy|不明|https://pc.moppy.jp/ad/detail.php?site_id=147270
2026-09-04T13:58:00Z,放置少女,warau,Android,1600,放置少女|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=177971
2026-09-04T13:58:00Z,エバーテイル,moppy,不明,360,エバーテイル|moppy|不明|https://pc.moppy.jp/ad/detail.php?site_id=158276
2026-09-04T13:58:00Z,エバーテイル,hapitas,Android,195,エバーテイル|hapitas|Android|https://hapitas.jp/item/detail/itemid/96066
2026-09-04T13:58:00Z,エバーテイル,hapitas,iOS,140,エバーテイル|hapitas|iOS|https://hapitas.jp/item/detail/itemid/91344
2026-09-04T23:04:28.549131Z,Township,chobirich,Android,31817,Township|chobirich|Android|https://www.chobirich.com/ad_details/1894712
2026-09-04T23:04:28.549131Z,Township,coincome,Android,33125,Township|coincome|Android|https://cimcome.jp/campaigns/details/9857
2026-09-04T23:04:28.549131Z,Township,coincome,iOS,30025,Township|coincome|iOS|https://cimcome.jp/campaigns/details/9856
2026-09-04T23:04:28.549131Z,Township,warau,Android,21670,Township|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204645
2026-09-04T23:04:28.549131Z,Township,warau,iOS,16760,Township|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204643
2026-09-04T23:04:28.549131Z,きのこ伝説,chobirich,Android,3831,きのこ伝説|chobirich|Android|https://www.chobirich.com/ad_details/1883822
2026-09-04T23:04:28.549131Z,きのこ伝説,chobirich,不明,17880,きのこ伝説|chobirich|不明|https://www.chobirich.com/ad_details/1896200
2026-09-04T23:04:28.549131Z,きのこ伝説,coincome,Android,18820,きのこ伝説|coincome|Android|https://cimcome.jp/campaigns/details/10038
2026-09-04T23:04:28.549131Z,きのこ伝説,coincome,iOS,22050,きのこ伝説|coincome|iOS|https://cimcome.jp/campaigns/details/10037
2026-09-04T23:04:28.549131Z,きのこ伝説,warau,Android,18800,きのこ伝説|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205817
2026-09-04T23:04:28.549131Z,きのこ伝説,warau,iOS,22000,きのこ伝説|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205816
2026-09-04T23:04:28.549131Z,エバーテイル,hapitas,Android,195,エバーテイル|hapitas|Android|https://hapitas.jp/item/detail/itemid/96066
2026-09-04T23:04:28.549131Z,エバーテイル,hapitas,iOS,140,エバーテイル|hapitas|iOS|https://hapitas.jp/item/detail/itemid/91344
2026-09-04T23:04:28.549131Z,エバーテイル,moppy,不明,360,エバーテイル|moppy|不明|https://pc.moppy.jp/ad/detail.php?site_id=158276
2026-09-04T23:04:28.549131Z,キングショット,hapitas,Android,16320,キングショット|hapitas|Android|https://hapitas.jp/item/detail/itemid/101355
2026-09-04T23:04:28.549131Z,キングショット,moppy,Android,18523,キングショット|moppy|Android|https://pc.moppy.jp/ad/detail.php?site_id=161855
2026-09-04T23:04:28.549131Z,キングショット,moppy,iOS,18523,キングショット|moppy|iOS|https://pc.moppy.jp/ad/detail.php?site_id=161854
2026-09-04T23:04:28.549131Z,パズル＆サバイバル,moppy,Android,39734,パズル＆サバイバル|moppy|Android|https://pc.moppy.jp/ad/detail.php?site_id=160367
2026-09-04T23:04:28.549131Z,パズル＆サバイバル,moppy,iOS,39740,パズル＆サバイバル|moppy|iOS|https://pc.moppy.jp/ad/detail.php?site_id=160366
2026-09-04T23:04:28.549131Z,パズル＆サバイバル,warau,Android,29500,パズル＆サバイバル|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205557
2026-09-04T23:04:28.549131Z,パズル＆サバイバル,warau,iOS,15230,パズル＆サバイバル|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205361
2026-09-04T23:04:28.549131Z,ホワイトアウト・サバイバル,moppy,Android,6119,ホワイトアウト・サバイバル|moppy|Android|https://pc.moppy.jp/ad/detail.php?site_id=160375
2026-09-04T23:04:28.549131Z,ワーキングヒーロー,hapitas,Android,11502,ワーキングヒーロー|hapitas|Android|https://hapitas.jp/item/detail/itemid/101445
2026-09-04T23:04:28.549131Z,ワーキングヒーロー,hapitas,iOS,11502,ワーキングヒーロー|hapitas|iOS|https://hapitas.jp/item/detail/itemid/101444
2026-09-04T23:04:28.549131Z,放置少女,moppy,不明,2400,放置少女|moppy|不明|https://pc.moppy.jp/ad/detail.php?site_id=147270
2026-09-04T23:04:28.549131Z,放置少女,warau,Android,1600,放置少女|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=177971
2026-09-04T23:04:28.549131Z,東京ディバンカー,hapitas,不明,147,東京ディバンカー|hapitas|不明|https://hapitas.jp/item/detail/itemid/91316
2026-09-04T23:04:28.549131Z,東京ディバンカー,moppy,不明,228,東京ディバンカー|moppy|不明|https://pc.moppy.jp/ad/detail.php?site_id=158270
2026-09-07T23:31:06.493515Z,Township,chobirich,Android,31817,Township|chobirich|Android|https://www.chobirich.com/ad_details/1894712
2026-09-07T23:31:06.493515Z,Township,coincome,Android,33125,Township|coincome|Android|https://cimcome.jp/campaigns/details/9857
2026-09-07T23:31:06.493515Z,Township,coincome,iOS,30025,Township|coincome|iOS|https://cimcome.jp/campaigns/details/9856
2026-09-07T23:31:06.493515Z,Township,warau,Android,21670,Township|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204645
2026-09-07T23:31:06.493515Z,Township,warau,iOS,16760,Township|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204643
2026-09-07T23:31:06.493515Z,きのこ伝説,chobirich,Android,3831,きのこ伝説|chobirich|Android|https://www.chobirich.com/ad_details/1883822
2026-09-07T23:31:06.493515Z,きのこ伝説,chobirich,不明,17880,きのこ伝説|chobirich|不明|https://www.chobirich.com/ad_details/1896200
2026-09-07T23:31:06.493515Z,きのこ伝説,coincome,Android,18820,きのこ伝説|coincome|Android|https://cimcome.jp/campaigns/details/10038
2026-09-07T23:31:06.493515Z,きのこ伝説,coincome,iOS,22050,きのこ伝説|coincome|iOS|https://cimcome.jp/campaigns/details/10037
2026-09-07T23:31:06.493515Z,きのこ伝説,warau,Android,18800,きのこ伝説|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205817
2026-09-07T23:31:06.493515Z,きのこ伝説,warau,iOS,22000,きのこ伝説|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205816
2026-09-07T23:31:06.493515Z,エバーテイル,hapitas,Android,195,エバーテイル|hapitas|Android|https://hapitas.jp/item/detail/itemid/96066
2026-09-07T23:31:06.493515Z,エバーテイル,hapitas,iOS,140,エバーテイル|hapitas|iOS|https://hapitas.jp/item/detail/itemid/91344
2026-09-07T23:31:06.493515Z,エバーテイル,moppy,不明,360,エバーテイル|moppy|不明|https://pc.moppy.jp/ad/detail.php?site_id=158276
2026-09-07T23:31:06.493515Z,キングショット,hapitas,Android,16320,キングショット|hapitas|Android|https://hapitas.jp/item/detail/itemid/101355
2026-09-07T23:31:06.493515Z,キングショット,moppy,Android,18523,キングショット|moppy|Android|https://pc.moppy.jp/ad/detail.php?site_id=161855
2026-09-07T23:31:06.493515Z,キングショット,moppy,iOS,18523,キングショット|moppy|iOS|https://pc.moppy.jp/ad/detail.php?site_id=161854
2026-09-07T23:31:06.493515Z,パズル＆サバイバル,moppy,Android,39734,パズル＆サバイバル|moppy|Android|https://pc.moppy.jp/ad/detail.php?site_id=160367
2026-09-07T23:31:06.493515Z,パズル＆サバイバル,moppy,iOS,39740,パズル＆サバイバル|moppy|iOS|https://pc.moppy.jp/ad/detail.php?site_id=160366
2026-09-07T23:31:06.493515Z,パズル＆サバイバル,warau,Android,29500,パズル＆サバイバル|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205557
2026-09-07T23:31:06.493515Z,パズル＆サバイバル,warau,iOS,15230,パズル＆サバイバル|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205361
2026-09-07T23:31:06.493515Z,ホワイトアウト・サバイバル,moppy,Android,6119,ホワイトアウト・サバイバル|moppy|Android|https://pc.moppy.jp/ad/detail.php?site_id=160375
2026-09-07T23:31:06.493515Z,ワーキングヒーロー,hapitas,Android,11502,ワーキングヒーロー|hapitas|Android|https://hapitas.jp/item/detail/itemid/101445
2026-09-07T23:31:06.493515Z,ワーキングヒーロー,hapitas,iOS,11502,ワーキングヒーロー|hapitas|iOS|https://hapitas.jp/item/detail/itemid/101444
2026-09-07T23:31:06.493515Z,放置少女,moppy,不明,2400,放置少女|moppy|不明|https://pc.moppy.jp/ad/detail.php?site_id=147270
2026-09-07T23:31:06.493515Z,放置少女,warau,Android,1600,放置少女|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=177971
2026-09-07T23:31:06.493515Z,東京ディバンカー,hapitas,不明,147,東京ディバンカー|hapitas|不明|https://hapitas.jp/item/detail/itemid/91316
2026-09-07T23:31:06.493515Z,東京ディバンカー,moppy,不明,228,東京ディバンカー|moppy|不明|https://pc.moppy.jp/ad/detail.php?site_id=158270

2026-09-07T23:30:12Z,メメントモリ,warau,iOS,11500,メメントモリ|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=206037
2026-09-07T23:30:12Z,ホワイトアウト・サバイバル,warau,Android,11500,ホワイトアウト・サバイバル|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=201872
2026-09-07T23:30:12Z,ホワイトアウト・サバイバル,warau,iOS,11500,ホワイトアウト・サバイバル|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=201862
2026-09-07T23:30:12Z,パズル＆サバイバル,warau,Android,24600,パズル＆サバイバル|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=206425
2026-09-07T23:30:12Z,キングショット,warau,Android,16000,キングショット|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204984
2026-09-07T23:30:12Z,キングショット,warau,iOS,16000,キングショット|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204983
2026-09-07T23:30:12Z,放置少女,warau,iOS,2000,放置少女|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=206411
2026-09-08T03:57:00Z,メメントモリ,hapitas,iOS,4815,メメントモリ|hapitas|iOS|https://hapitas.jp/item/detail/itemid/99420
2026-09-08T03:57:00Z,メメントモリ,hapitas,Android,4815,メメントモリ|hapitas|Android|https://hapitas.jp/item/detail/itemid/99421
2026-09-08T15:00:00+09:00,メメントモリ,warau,iOS,4906,メメントモリ|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=206501
2026-09-08T15:00:00+09:00,メメントモリ,warau,Android,4906,メメントモリ|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=206500
2026-09-08T15:00:00+09:00,パズル＆サバイバル,warau,Android,8628,パズル＆サバイバル|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=206488
2026-09-08T15:00:00+09:00,パズル＆サバイバル,warau,Android,13016,パズル＆サバイバル|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=206460
2026-09-08T16:05:00+09:00,パズル＆サバイバル,hapitas,iOS,35015,パズル＆サバイバル|hapitas|iOS|https://hapitas.jp/item/detail/itemid/98148
2026-09-08T16:05:00+09:00,パズル＆サバイバル,hapitas,Android,30612,パズル＆サバイバル|hapitas|Android|https://hapitas.jp/item/detail/itemid/99158
2026-09-08T16:11:40+09:00,きのこ伝説,hapitas,iOS,18142,きのこ伝説|hapitas|iOS|https://hapitas.jp/item/detail/itemid/102450
2026-09-08T16:11:40+09:00,きのこ伝説,hapitas,Android,14792,きのこ伝説|hapitas|Android|https://hapitas.jp/item/detail/itemid/102451
2026-09-08T16:40:00+09:00,キングショット,hapitas,iOS,16320,キングショット|hapitas|iOS|https://hapitas.jp/item/detail/itemid/101354
